ImageID,Subset,OriginalURL,OriginalLandingURL,License,AuthorProfileURL,Author,Title,OriginalSize,OriginalMD5,Thumbnail300KURL,Rotation
0025d1950652e2f8,train,https://c1.staticflickr.com/8/7020/6739450819_5b70d6b45f_o.jpg,https://www.flickr.com/photos/daquellamanera/6739450819,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/daquellamanera/,Daniel Lobo,Paseo de la Castellana,576901,7umWEIMPz8KoTG4uJmSs4w==,https://c4.staticflickr.com/8/7020/6739450819_d711aee5c2_z.jpg,0.0
9aa29d4adc92266e,train,https://c7.staticflickr.com/9/8035/7936013448_c7a008a2b4_o.jpg,https://www.flickr.com/photos/exaudio/7936013448,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/exaudio/,Jon Hanson,View from the Bund. Shanghai,334842,tp9jffm8L4cfWSChjxmIpw==,https://c8.staticflickr.com/9/8035/7936013448_7dc2bc9dea_z.jpg,0.0
00a7e199f36d16e7,train,https://farm8.staticflickr.com/4078/4807058753_f90aeb89c9_o.jpg,https://www.flickr.com/photos/zouny/4807058753,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/zouny/,Johnny Ainsworth,DSC_0751,1238018,ErlONqjedGVyawjNt7e7ow==,https://c7.staticflickr.com/5/4078/4807058753_932b66a04b_z.jpg,0.0
6401475e96a3ea0a,train,https://c3.staticflickr.com/1/54/135813586_0c32fe4f1d_o.jpg,https://www.flickr.com/photos/billjacobus1/135813586/,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/billjacobus1/,Bill Jacobus,Abstract Houston,46920,YUvw3S64a5WLFGfE6dNdgA==,,
435d9f47d87d246a,train,https://c3.staticflickr.com/8/7113/7429979384_2719e0742e_o.jpg,https://www.flickr.com/photos/bitboy/7429979384/,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/bitboy/,Bit Boy,SF From Alcatraz Island,2112997,3Evaflm5W2bpfeeSjC0HjA==,https://c7.staticflickr.com/8/7113/7429979384_aa5276d628_z.jpg,0.0
006a2e98a6fc8131,train,https://farm2.staticflickr.com/5174/5458928090_a63b7d178a_o.jpg,https://www.flickr.com/photos/vxla/5458928090,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/vxla/,vxla,South Branch of the Chicago River,9048576,yMIl/a+M3+J3vYVtvdSKkw==,https://c3.staticflickr.com/6/5174/5458928090_e0d8624dfe_z.jpg,0.0
00b518b6f5fa75a3,train,https://farm4.staticflickr.com/8007/7658826890_2ca7aba05f_o.jpg,https://www.flickr.com/photos/83641672@N07/7658826890,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/83641672@N07/,Lucas Garcia,Alphaville e Vila Boa Vista,543461,nfRO2P+DNm52AMWt1RmivQ==,https://c4.staticflickr.com/9/8007/7658826890_1496ce2040_z.jpg,0.0
07dd7409f8c112d8,train,https://c1.staticflickr.com/6/5102/5561456506_cb5af5c411_o.jpg,https://www.flickr.com/photos/bao_tri_nguyen/5561456506,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/bao_tri_nguyen/,Tri Nguyen,Ä�áº³ng cáº¥p sá»‘ng ...?!,594971,U+qEPwLW62+qJ85AgAxt2Q==,https://c4.staticflickr.com/6/5102/5561456506_d564ea79f0_z.jpg,0.0
002c3cfbadaa29c4,train,https://farm5.staticflickr.com/3781/20266997145_109ea2e42e_o.jpg,https://www.flickr.com/photos/53113704@N03/20266997145,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/53113704@N03/,Traveltipy,KoÅ¡ice - district on the lake called Nad Jazerom,5056689,zzeYLkrK05/g65tv3VpPYg==,https://c7.staticflickr.com/4/3781/20266997145_54c5c87c8d_z.jpg,0.0
0193dccaa8e567f3,train,https://farm4.staticflickr.com/669/20351241859_378e2127d2_o.jpg,https://www.flickr.com/photos/south-african-tourism/20351241859,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/south-african-tourism/,South African Tourism,"Bloemfontein, Free State, South Africa",11269427,aryqmGsKRRXuNRzoaNW0Pg==,https://c8.staticflickr.com/1/669/20351241859_cf72bec02a_z.jpg,
5fcd2d022ab18578,test,https://c1.staticflickr.com/3/2360/1629273674_3bdaed09f8_o.jpg,https://www.flickr.com/photos/caspermoller/1629273674,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/caspermoller/,Casper Moller,IMG_0126.jpg,837534,Lab/RAHGZ9zwA5qg1236DQ==,https://c4.staticflickr.com/3/2360/1629273674_ea3061437f_z.jpg,0.0
009a212ab8033394,train,https://farm5.staticflickr.com/6194/6069230113_0ac4d124a8_o.jpg,https://www.flickr.com/photos/panr/6069230113,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/panr/,Robert Cutts,Birkenhead seen from across the Mersey,413827,/SWpOYnzjqlLpDSvc4F8MA==,https://c6.staticflickr.com/7/6194/6069230113_87e841ffd0_z.jpg,0.0
